well_position	broad_sample	solvent
A01	BRD-K09338665-001-07-1	DMSO
A02	BRD-K48278478-001-01-2	DMSO
A03	BRD-A85242401-001-12-3	DMSO
A04	BRD-K93632104-001-17-2	DMSO
A05		DMSO
A06	BRD-K57313110-001-06-8	DMSO
A07	BRD-K25244359-066-04-9	DMSO
A08	BRD-K44067360-001-30-3	DMSO
A09	BRD-K73276278-305-02-9	DMSO
A10	BRD-K59058747-001-22-9	DMSO
A11	BRD-K68982262-001-02-9	DMSO
A12	BRD-A20697603-001-07-2	DMSO
A13	BRD-A54139254-001-10-9	DMSO
A14	BRD-K26521938-001-07-2	DMSO
A15	BRD-K43330982-001-04-9	DMSO
A16	BRD-K05878375-236-05-7	DMSO
A17	BRD-K51485109-001-02-9	DMSO
A18	BRD-A15397381-001-02-5	DMSO
A19	BRD-K15502390-001-19-1	DMSO
A20		DMSO
A21	BRD-A43005764-003-02-9	DMSO
A22	BRD-K38512030-001-01-7	DMSO
A23	BRD-K50720187-050-09-0	DMSO
A24	BRD-K02554563-001-01-6	DMSO
B01	BRD-K68567222-001-02-0	DMSO
B02	BRD-K81801188-001-02-8	DMSO
B03	BRD-K08953028-001-09-6	DMSO
B04	BRD-K47598052-001-14-1	DMSO
B05	BRD-K37602296-001-02-9	DMSO
B06	BRD-K60659193-001-01-0	DMSO
B07	BRD-A07207424-001-15-9	DMSO
B08	BRD-K29895144-001-01-0	DMSO
B09	BRD-K40109029-001-03-7	DMSO
B10	BRD-A09722536-002-18-0	DMSO
B11	BRD-K26439554-001-02-9	DMSO
B12		DMSO
B13		DMSO
B14	BRD-K70586315-001-02-4	DMSO
B15	BRD-K29151923-001-02-9	DMSO
B16	BRD-K17849083-001-32-9	DMSO
B17	BRD-K70463136-001-02-9	DMSO
B18	BRD-K22482860-001-20-6	DMSO
B19	BRD-K74913225-001-16-9	DMSO
B20	BRD-K34581968-001-04-6	DMSO
B21	BRD-K87158025-003-09-9	DMSO
B22	BRD-K38272302-001-02-7	DMSO
B23	BRD-K75390981-300-04-9	DMSO
B24	BRD-K43570081-001-02-4	DMSO
C01	BRD-K91825936-001-03-9	DMSO
C02	BRD-K46625559-001-01-8	DMSO
C03	BRD-K95785537-001-22-3	DMSO
C04	BRD-K10670311-001-15-5	DMSO
C05	BRD-K36461289-001-05-8	DMSO
C06	BRD-K13094524-001-06-7	DMSO
C07	BRD-K35498378-001-06-1	DMSO
C08	BRD-K14560436-001-02-9	DMSO
C09		DMSO
C10	BRD-K15819326-001-02-9	DMSO
C11	BRD-K91283740-003-01-6	DMSO
C12	BRD-K08893438-001-04-9	DMSO
C13	BRD-K66430217-001-03-8	DMSO
C14	BRD-K72063794-003-02-9	DMSO
C15	BRD-K04210847-001-21-9	DMSO
C16		DMSO
C17		DMSO
C18	BRD-K75748943-300-02-9	DMSO
C19	BRD-K68143200-001-11-7	DMSO
C20	BRD-K03155172-001-02-2	DMSO
C21	BRD-K26970495-001-02-7	DMSO
C22	BRD-K07762753-001-04-4	DMSO
C23	BRD-K62949423-001-04-9	DMSO
C24	BRD-A22032524-074-09-9	DMSO
D01	BRD-K16444452-001-12-9	DMSO
D02	BRD-K05531427-001-01-7	DMSO
D03		DMSO
D04	BRD-K97010173-001-04-1	DMSO
D05	BRD-K64800655-001-11-9	DMSO
D06		DMSO
D07	BRD-K64890080-001-14-9	DMSO
D08	BRD-K03109492-001-08-9	DMSO
D09		DMSO
D10	BRD-K68164687-001-02-9	DMSO
D11	BRD-K86525559-001-07-8	DMSO
D12	BRD-K19477839-001-10-9	DMSO
D13	BRD-K38852836-001-04-9	DMSO
D14	BRD-K42191735-001-08-7	DMSO
D15	BRD-K93942811-001-01-3	DMSO
D16	BRD-K64800655-001-11-9	DMSO
D17		DMSO
D18		DMSO
D19	BRD-K58550667-001-12-9	DMSO
D20	BRD-K49350383-001-15-2	DMSO
D21	BRD-K25243230-001-01-2	DMSO
D22		DMSO
